市区町丁,総合計,凶悪犯計,凶悪犯強盗,凶悪犯その他,粗暴犯計,粗暴犯凶器準備集合,粗暴犯暴行,粗暴犯傷害,粗暴犯脅迫,粗暴犯恐喝,侵入窃盗計,侵入窃盗金庫破り,侵入窃盗学校荒し,侵入窃盗事務所荒し,侵入窃盗出店荒し,侵入窃盗空き巣,侵入窃盗忍込み,侵入窃盗居空き,侵入窃盗その他,非侵入窃盗計,非侵入窃盗自動車盗,非侵入窃盗オートバイ盗,非侵入窃盗自転車盗,非侵入窃盗車上ねらい,非侵入窃盗自販機ねらい,非侵入窃盗工事場ねらい,非侵入窃盗すり,非侵入窃盗ひったくり,非侵入窃盗置引き,非侵入窃盗万引き,非侵入窃盗その他,その他計,その他詐欺,その他占有離脱物横領,その他その他知能犯,その他賭博,その他その他刑法犯,latitude,longitude
東久留米市幸町５丁目,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0,2,35.760754,139.517798
東久留米市本町１丁目,34,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,24,0,0,0,0,0,0,0,4,3,0,1,0,0,2,35.759085,139.533352
東久留米市本町２丁目,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,1,0,3,0,0,0,0,3,35.761625,139.529104
東久留米市本町３丁目,31,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,8,0,0,0,0,0,1,13,6,2,0,0,0,0,2,35.759374,139.529346
東久留米市本町４丁目,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,35.756091,139.530358
東久留米市中央町１丁目,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,2,35.756555,139.525884
東久留米市中央町２丁目,9,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,2,35.755136,139.521502
東久留米市中央町３丁目,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,1,3,3,0,0,0,0,35.751192,139.522259
東久留米市中央町４丁目,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.74744,139.522147
東久留米市中央町５丁目,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,1,5,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,35.750374,139.517501
