市区町丁,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
豊島区池袋本町１丁目,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2,0,2,0,0,1
豊島区池袋本町２丁目,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,1,2,4,2,1
豊島区池袋本町３丁目,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
豊島区池袋本町４丁目,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1
豊島区池袋１丁目,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,3,0,1,0,0,0
豊島区池袋２丁目,3,2,3,1,1,0,1,1,2,0,4,3,2,0,2,0,3,4,4,3,2,3,4,2
豊島区池袋３丁目,1,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0,2,3,4,0,4,0,0,0
豊島区池袋４丁目,1,0,0,1,0,0,1,0,2,0,0,0,1,1,2,1,1,0,1,0,3,0,1,0
豊島区目白１丁目,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
豊島区目白２丁目,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
豊島区目白３丁目,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,2,0,0,0,0,2
豊島区目白４丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,1
豊島区目白５丁目,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,2,0,1,0
豊島区西巣鴨１丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,1,1,0,0
豊島区西巣鴨２丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
豊島区西巣鴨３丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,2,0,0
豊島区西巣鴨４丁目,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0
豊島区西池袋１丁目,3,0,1,1,0,1,2,2,2,3,8,2,2,3,6,1,3,6,4,3,4,1,1,0
豊島区西池袋２丁目,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1
豊島区西池袋３丁目,1,0,0,0,1,0,0,2,2,0,2,0,1,1,0,1,2,1,1,1,1,2,1,1
豊島区西池袋４丁目,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0
豊島区西池袋５丁目,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,2,0
豊島区要町１丁目,0,0,0,2,0,0,0,1,2,2,3,2,3,0,0,1,2,1,7,1,0,1,3,0
豊島区要町２丁目,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1
豊島区要町３丁目,0,0,0,0,0,0,1,2,2,0,1,2,1,0,0,0,3,3,1,1,0,0,1,0
豊島区長崎１丁目,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,1,1,0,0,0
豊島区長崎２丁目,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,3,0,1,1,2,2,0
豊島区長崎３丁目,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,1,1,0,1,0,0
豊島区長崎４丁目,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0
豊島区長崎５丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
豊島区長崎６丁目,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,2,1,1,0
豊島区雑司が谷１丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
